Stock Code;Bar Code;Stock Description;Retail Price Incl.;Count
11012;;T/C KNIFE SHARPENER WITH TUNGS;R 71.00;
11013;6009675086696;T/C HEX KEY SET 10PC 1.5-10MM;R 57.30;
11015;;T/C HOSE REPAIR KIT 8MM;R 24.10;
11019;;POLYCORD 15MM - MT;R 5.60;
11020;;POLYCORD 25MM - MT;R 10.00;
11021;6005721004584;RUW SCREWDRIVER PH/ACE PH0X60;R 40.50;
11027;;T/L MINI MULTI-TOOL SET 2PC;R 174.00;
11028;;POLYCORD 6MM - MT;R 2.00;
11031;;DISC RAZOR A46T 115/1/22;R 13.50;
11033;6004215002761;GEN HYDROSEAL 1LT;R 93.50;
11037;6004596001025;DURAM DURAPOND BLUE 1LT;R 264.50;
11040;6005721022779;RUW 20M WOOD FLAT DRILLBIT;R 34.00;
11042;;T/L PLIER SET 2PC S/LESS STEEL;R 29.20;
11044;;POLYCORD 8MM - MT;R 2.90;
11045;;POLYCORD 10MM - MT;R 3.60;
11046;;POLYCORD 20MM - MT;R 7.20;
11050;;ELECT BULKHEAD POLYCARBONATE;R 40.40;
11052;;L/C GLOBE 100W B22 CLEAR;R 25.50;
11053;;L/C GLOBE 40W E27 FROST/CANDLE;R 24.00;
11067;;APPLE/PEARTISER 340ML;R 9.80;
11070;;PT SILICONE STRIPPER 90ML;R 30.30;
11078;6004709003007;SIKA CEMFLEX 5LT;R 510.00;
11080;;MAT - COIR 800X500MM 18MM;R 180.60;
11082;;MAT - STEEL 750X450MM;R 220.70;
11099;;WIRE BRUSH CUP 65MM M14X2 ZEL;R 47.00;
11100;;DEK QD MEDIUM BASE 20LT;R 1,835.00;
11107;6004596002763;DURAM XYLENE 1LT;R 109.50;
11110;;WEBCO TAPE - 8MT;R 60.00;
11111;;T/L MULTI-TOOL WITH LED;R 119.00;
11132;;ROLLER HANDLE 50-70MM (F5904);R 9.50;
11137;;ZEL G CLAMP 200MM;R 245.00;
11139;;T/L HACKSAW FRAME PROFESSIONAL;R 54.70;
11148;6001563671502;GEN FILLA FOAM 500ML;R 86.50;
11159;6003173000826;H/R SOLVENT 1LT;R 86.50;
11161;;MTS TOOLBOX CANTI 5TIER;R 547.90;
11166;;WEBCO CHISEL 32MM;R 60.00;
11169;;SCRAPER - PROF 75MM MARSHAL;R 27.70;
11184;6005721006687;RUW 12M INDUST/CONC DRILLBIT;R 54.00;
11185;6005721006694;RUW 14M IND/CONC DRILLBIT;R 84.50;
11187;6005721020003;RUW 13MM INDUST/CONC DRILLBIT;R 62.00;
11190;;LAMBSWOOL REFILL 225MM (H);R 28.00;
11192;6001062022799;DX TRADE PEARLGLO SB WHITE 1LT;R 200.00;
11202;6004765118202;BRUSH - RENOVATOR W/PROOF 120M;R 84.00;
11213;;C/S HW RETARDER THINNERS 25LT;R 885.99;
11219;6005721029662;RUW 13X400M CONC LNG DRILLBIT;R 199.50;
11220;6005721019793;RUW 11M INDUST/CONC DRILLBIT;R 49.50;
11222;;MTS BLADE DIAM CONTINUOUS 115M;R 59.50;
11225;;CURTAIN KNOBS NAT.LARGE FLAT;R 26.00;
11286;6004215000057;GEN URO SEAL 800ML;R 162.50;
11287;;ALN OUTDOOR BRAID 8MMX30MT;R 79.00;
11306;;MTS TROWEL POINT W/HNDL 150MM;R 29.50;
11309;;KK ALABAMA ON PLATE AL2306SNBL;R 184.20;
11314;;KK SAT/NICK ON PLATE 8527/BRNB;R 266.50;
11323;;T/L MINI MULTI-TOOL HAMMER;R 101.00;
11324;;SPRAYGUN D/V FLUID TIP (OH);R 254.00;
11327;;ALN OUTDOOR BRAID 8MMX10M;R 31.00;
11330;;RUW 6X200M IND/CON LONG;R 47.60;
11331;;RUW 8X200M IND/CON LONG;R 60.90;
11332;6005721023387;RUW 4M WOOD BRAD DRILLBIT;R 21.50;
11333;6005721018734;RUW 1.5M METAL INDUST DRILLBIT;R 15.50;
11334;6005721018741;RUW 2MM METAL INDUST DRILLBIT;R 15.50;
