Stock Code;Bar Code;Stock Description;Count
11473;;ELECT EURO TOP ENTRY PLUG PROT;
11474;;ELECT ADAPTOR DBL 2X16A;
11475;;MASONRY NAILS 25MM(500GR);
11482;;ELECT INDUSTRIAL SWITCH PLUG;
11484;;ELECT CEILING FAN SWITCH 3 SPD;
115-9012;;CG DIAMOND GLOSS CATALYST 25LT;
11508;;ZEL KNIFE BLADE H/D PK10;
11510;;CRAFT GLOSS - COLOURS 125ML;
11522;6005721018758;RUW 2.5 METAL INDUST DRILLBIT;
11523;6005721018789;RUW 3.5 METAL INDUST DRILLBIT;
11524;6005721018796;RUW 4M METAL INDUST DRILLBIT;
11525;6005721018819;RUW 4.5M METAL INDUST DRILLBIT;
11526;;BROOM - GUTTER SWEEPER 92326;
11527;;CLEARNACE SAW HOLE 65MM;
11566;;ALN TWINE COTTON 1MMX50GR;
11567;6002065005451;ABE FLEXOTHANE 1 310ML;
11568;;T/L SPANNER SET 8PC 6-13MM;
11569;;RUW CHUCK 13MM PROFESSIONAL;
11580;;WIRE BRUSH WHEEL 40X75MM;
11583;;ELECT PRE LUGS NO16/17/19;
11587;;PT TURNBUCKLE GALV H+E 12MM;
11588;6004765140500;SCRAPER - PROF 50MM HAMIL;
11592;;ASC TYRE JACK 340ML;
11601;;CC ACRYLIC PAINT 100ML;
11613;;NAA IMBUIA MATCHING 20LT;
11618;6005721023370;RUW 3M WOOD BRAD DRILLBIT;
11619;6003851423770;PL COL LF BRIGHT YELLOW 1LT;
11620;6003851423879;PL COL LF MEDIUM YELLOW 1LT;
11621;6003851423671;PL COL HS PHTHALO GREEN 1LT;
11622;6003851423979;PL COL HS BRIGHT RED 1LT;
11623;6003851423572;PL COL HS PHTHALO BLUE 1LT;
11624;;PT TURNBUCKLE GALV H+E 8MM;
11627;;PT AXE HATCHET LASHER H/D 1.8K;
11630;6003173001076;H/R NO. 1 PRIMER 1LT;
11632;6004596002091;DURAM DURAMESH (200MMX10M);
11651;;WEBCO GARDEN FORK;
11652;;MTS SQUARE COMBINATION 300MM;
11655;;WEBCO TAPE - 3MT;
11656;;WEBCO TAPE - 5MT;
11658;;WEBCO TAPE - 20MT F/GLASS;
11659;;MEASURING TAPE 30MT STEEL;
11661;;WEBCO LEVEL SPIRIT - 600;
11662;;WEBCO LEVEL SPIRIT - 900;
11666;;WEBCO RETRACTABLE BLADE KNIFE;
11669;;WEBCO BLADE STANDARD BS5;
11670;;WEBCO HACKSAW BLADE 24T 12PCE;
11672;;WEBCO SNAP OFF BLADE PKD BSP18;
11673;;ZEL GLASS & TILE CUTTER + OIL;
11674;;T/L GLASS CUTTER 6 WHEEL;
11676;;ZEL HAND SAW 550MM;
11678;;T/L MITRE BOX & SAW 550MM;
11680;;WOODOC 35 500ML;
11683;;WEBCO PLIERS LONG NOSE 160MM;
